"chr" "start" "end" "sample" "super_pop" "width" "index"
"NA20894_" "1" 12345135.9 14444408.1 "NA20894" "SAS_" "0" 0
"NA20875_" "1" 12345135.9 14444408.1 "NA20875" "SAS_" "0" 1
"HG03967_" "1" 12345135.9 14444408.1 "HG03967" "SAS_" "0" 2
"HG03934_" "1" 12345135.9 14444408.1 "HG03934" "SAS_" "0" 3
"HG03911_" "1" 12345135.9 14444408.1 "HG03911" "SAS_" "0" 4
"HG03875_" "1" 12345135.9 14444408.1 "HG03875" "SAS_" "0" 5
"HG02728_" "1" 12345135.9 14444408.1 "HG02728" "SAS_" "0" 6
"HG03754_" "1" 12345135.9 14444408.1 "HG03754" "SAS_" "0" 7
"NA21100_" "1" 12345135.9 14444408.1 "NA21100" "SAS_" "0" 8
"NA20884_" "1" 12345135.9 14444408.1 "NA20884" "SAS_" "0" 9
"HG04159_" "1" 12345135.9 14444408.1 "HG04159" "SAS_" "0" 10
"NA20856_" "1" 12345135.9 14444408.1 "NA20856" "SAS_" "0" 11
"NA21102_" "1" 12345135.9 14444408.1 "NA21102" "SAS_" "0" 12
"HG04188_" "1" 12345135.9 14444408.1 "HG04188" "SAS_" "0" 13
"HG04118_" "1" 12345135.9 14444408.1 "HG04118" "SAS_" "0" 14
"HG04047_" "1" 12345135.9 14444408.1 "HG04047" "SAS_" "0" 15
"HG03869_" "1" 12345135.9 14444408.1 "HG03869" "SAS_" "0" 16
"HG03809_" "1" 12345135.9 14444408.1 "HG03809" "SAS_" "0" 17
"HG03750_" "1" 12345135.9 14444408.1 "HG03750" "SAS_" "0" 18
"HG03672_" "1" 12345135.9 14444408.1 "HG03672" "SAS_" "0" 19
"HG04214_" "1" 12345135.9 14444408.1 "HG04214" "SAS_" "0" 20
"NA20874_" "1" 12345135.9 14444408.1 "NA20874" "SAS_" "0" 21
"HG03922_" "1" 12345135.9 14444408.1 "HG03922" "SAS_" "0" 22
"HG03902_" "1" 12345135.9 14444408.1 "HG03902" "SAS_" "0" 23
"NA20876_" "1" 12345135.9 14444408.1 "NA20876" "SAS_" "0" 24
"HG03760_" "1" 12345135.9 14444408.1 "HG03760" "SAS_" "0" 25
"HG03937_" "1" 12345135.9 14444408.1 "HG03937" "SAS_" "0" 26
"HG03667_" "1" 12345135.9 14444408.1 "HG03667" "SAS_" "0" 27
"NA20851_" "1" 12345135.9 14444408.1 "NA20851" "SAS_" "0" 28
"HG01593_" "1" 12345135.9 14444408.1 "HG01593" "SAS_" "0" 29
"NA20905_" "1" 12345135.9 14444408.1 "NA20905" "SAS_" "0" 30
"HG02784_" "1" 12345135.9 14444408.1 "HG02784" "SAS_" "0" 31
"HG02660_" "1" 12345135.9 14444408.1 "HG02660" "SAS_" "0" 32
"HG04019_" "1" 12345135.9 14444408.1 "HG04019" "SAS_" "0" 33
"NA20896_" "1" 12345135.9 14444408.1 "NA20896" "SAS_" "0" 34
"HG03703_" "1" 12345135.9 14444408.1 "HG03703" "SAS_" "0" 35
"NA20787_" "1" 12345135.9 14444408.1 "NA20787" "EUR_" "0" 489
"NA12830_" "1" 12345135.9 14444408.1 "NA12830" "EUR_" "0" 490
"NA12760_" "1" 12345135.9 14444408.1 "NA12760" "EUR_" "0" 491
"NA12413_" "1" 12345135.9 14444408.1 "NA12413" "EUR_" "0" 492
"NA10851_" "1" 12345135.9 14444408.1 "NA10851" "EUR_" "0" 493
"HG02223_" "1" 12345135.9 14444408.1 "HG02223" "EUR_" "0" 494
"HG01783_" "1" 12345135.9 14444408.1 "HG01783" "EUR_" "0" 495
"HG01628_" "1" 12345135.9 14444408.1 "HG01628" "EUR_" "0" 496
"HG01537_" "1" 12345135.9 14444408.1 "HG01537" "EUR_" "0" 497
"HG01509_" "1" 12345135.9 14444408.1 "HG01509" "EUR_" "0" 498
"HG00373_" "1" 12345135.9 14444408.1 "HG00373" "EUR_" "0" 499
"HG00360_" "1" 12345135.9 14444408.1 "HG00360" "EUR_" "0" 500
"HG00282_" "1" 12345135.9 14444408.1 "HG00282" "EUR_" "0" 501
"NA20803_" "1" 12345135.9 14444408.1 "NA20803" "EUR_" "0" 502
"NA20533_" "1" 12345135.9 14444408.1 "NA20533" "EUR_" "0" 503
"HG00112_" "1" 12345135.9 14444408.1 "HG00112" "EUR_" "0" 504
"HG02215_" "1" 12345135.9 14444408.1 "HG02215" "EUR_" "0" 505
"HG00142_" "1" 12345135.9 14444408.1 "HG00142" "EUR_" "0" 506
"HG00128_" "1" 12345135.9 14444408.1 "HG00128" "EUR_" "0" 507
"HG00120_" "1" 12345135.9 14444408.1 "HG00120" "EUR_" "0" 508
"HG00671_" "1" 12345135.9 14444408.1 "HG00671" "EAS_" "0" 992
"HG00513_" "1" 12345135.9 14444408.1 "HG00513" "EAS_" "0" 993
"NA18983_" "1" 12345135.9 14444408.1 "NA18983" "EAS_" "0" 994
"NA18968_" "1" 12345135.9 14444408.1 "NA18968" "EAS_" "0" 995
"NA18966_" "1" 12345135.9 14444408.1 "NA18966" "EAS_" "0" 996
"NA18571_" "1" 12345135.9 14444408.1 "NA18571" "EAS_" "0" 997
"NA18542_" "1" 12345135.9 14444408.1 "NA18542" "EAS_" "0" 998
"HG02367_" "1" 12345135.9 14444408.1 "HG02367" "EAS_" "0" 999
"NA18995_" "1" 12345135.9 14444408.1 "NA18995" "EAS_" "0" 1000
"NA18611_" "1" 12345135.9 14444408.1 "NA18611" "EAS_" "0" 1001
"HG02185_" "1" 12345135.9 14444408.1 "HG02185" "EAS_" "0" 1002
"HG02142_" "1" 12345135.9 14444408.1 "HG02142" "EAS_" "0" 1003
"HG01874_" "1" 12345135.9 14444408.1 "HG01874" "EAS_" "0" 1004
"HG01864_" "1" 12345135.9 14444408.1 "HG01864" "EAS_" "0" 1005
"HG01863_" "1" 12345135.9 14444408.1 "HG01863" "EAS_" "0" 1006
"HG01857_" "1" 12345135.9 14444408.1 "HG01857" "EAS_" "0" 1007
"HG01847_" "1" 12345135.9 14444408.1 "HG01847" "EAS_" "0" 1008
"HG01846_" "1" 12345135.9 14444408.1 "HG01846" "EAS_" "0" 1009
"HG00844_" "1" 12345135.9 14444408.1 "HG00844" "EAS_" "0" 1010
"HG02402_" "1" 12345135.9 14444408.1 "HG02402" "EAS_" "0" 1011
"NA19067_" "1" 12345135.9 14444408.1 "NA19067" "EAS_" "0" 1012
"NA19317_" "1" 12345135.9 14444408.1 "NA19317" "AFR_" "0" 1843
"74" "1" 13993010 14133273 "NA20894" "SAS" "140263" 0
"71" "1" 13993010 14133273 "NA20875" "SAS" "140263" 1
"48" "1" 13993010 14133273 "HG03967" "SAS" "140263" 2
"37" "1" 13993010 14133273 "HG03934" "SAS" "140263" 3
"35" "1" 13993010 14133273 "HG03911" "SAS" "140263" 4
"47" "1" 13993010 14133273 "HG03875" "SAS" "140263" 5
"22" "1" 13993010 14133273 "HG02728" "SAS" "140263" 6
"43" "1" 13993649 14133273 "HG03754" "SAS" "139624" 7
"77" "1" 13993649 14130817 "NA21100" "SAS" "137168" 8
"73" "1" 13993533 14125496 "NA20884" "SAS" "131963" 9
"39" "1" 13993533 14125496 "HG04159" "SAS" "131963" 10
"69" "1" 13993649 14125210 "NA20856" "SAS" "131561" 11
"78" "1" 13993010 14124194 "NA21102" "SAS" "131184" 12
"40" "1" 13993010 14124194 "HG04188" "SAS" "131184" 13
"50" "1" 13993010 14124194 "HG04118" "SAS" "131184" 14
"45" "1" 13993010 14124194 "HG04047" "SAS" "131184" 15
"46" "1" 13993010 14124194 "HG03869" "SAS" "131184" 16
"33" "1" 13993010 14124194 "HG03809" "SAS" "131184" 17
"42" "1" 13993010 14124194 "HG03750" "SAS" "131184" 18
"41" "1" 13993010 14124194 "HG03672" "SAS" "131184" 19
"51" "1" 13993010 14122156 "HG04214" "SAS" "129146" 20
"70" "1" 13993010 14121892 "NA20874" "SAS" "128882" 21
"36" "1" 13993010 14121892 "HG03922" "SAS" "128882" 22
"34" "1" 13993010 14121892 "HG03902" "SAS" "128882" 23
"72" "1" 13993010 14120247 "NA20876" "SAS" "127237" 24
"44" "1" 13993010 14118408 "HG03760" "SAS" "125398" 25
"38" "1" 14009565 14124194 "HG03937" "SAS" "114629" 26
"24" "1" 14012273 14121892 "HG03667" "SAS" "109619" 27
"68" "1" 14034446 14124194 "NA20851" "SAS" "89748" 28
"20" "1" 13822428 13875958 "HG01593" "SAS" "53530" 29
"76" "1" 13824749 13875958 "NA20905" "SAS" "51209" 30
"23" "1" 13924943 13958626 "HG02784" "SAS" "33683" 31
"21" "1" 13917481 13949662 "HG02660" "SAS" "32181" 32
"49" "1" 14196463 14228531 "HG04019" "SAS" "32068" 33
"75" "1" 13917481 13948613 "NA20896" "SAS" "31132" 34
"25" "1" 13917481 13948613 "HG03703" "SAS" "31132" 35
"NA21144" "1" 12345135.9 14444408.1 "NA21144" "SAS_" "0.109999999403954" 36
"NA21143" "1" 12345135.9 14444408.1 "NA21143" "SAS_" "0.109999999403954" 37
"NA21142" "1" 12345135.9 14444408.1 "NA21142" "SAS_" "0.109999999403954" 38
"NA21141" "1" 12345135.9 14444408.1 "NA21141" "SAS_" "0.109999999403954" 39
"NA21137" "1" 12345135.9 14444408.1 "NA21137" "SAS_" "0.109999999403954" 40
"NA21135" "1" 12345135.9 14444408.1 "NA21135" "SAS_" "0.109999999403954" 41
"NA21133" "1" 12345135.9 14444408.1 "NA21133" "SAS_" "0.109999999403954" 42
"NA21130" "1" 12345135.9 14444408.1 "NA21130" "SAS_" "0.109999999403954" 43
"NA21129" "1" 12345135.9 14444408.1 "NA21129" "SAS_" "0.109999999403954" 44
"NA21128" "1" 12345135.9 14444408.1 "NA21128" "SAS_" "0.109999999403954" 45
"NA21127" "1" 12345135.9 14444408.1 "NA21127" "SAS_" "0.109999999403954" 46
"NA21126" "1" 12345135.9 14444408.1 "NA21126" "SAS_" "0.109999999403954" 47
"NA21125" "1" 12345135.9 14444408.1 "NA21125" "SAS_" "0.109999999403954" 48
"NA21124" "1" 12345135.9 14444408.1 "NA21124" "SAS_" "0.109999999403954" 49
"NA21123" "1" 12345135.9 14444408.1 "NA21123" "SAS_" "0.109999999403954" 50
"NA21122" "1" 12345135.9 14444408.1 "NA21122" "SAS_" "0.109999999403954" 51
"NA21120" "1" 12345135.9 14444408.1 "NA21120" "SAS_" "0.109999999403954" 52
"NA21119" "1" 12345135.9 14444408.1 "NA21119" "SAS_" "0.109999999403954" 53
"NA21118" "1" 12345135.9 14444408.1 "NA21118" "SAS_" "0.109999999403954" 54
"NA21117" "1" 12345135.9 14444408.1 "NA21117" "SAS_" "0.109999999403954" 55
"NA21116" "1" 12345135.9 14444408.1 "NA21116" "SAS_" "0.109999999403954" 56
"NA21115" "1" 12345135.9 14444408.1 "NA21115" "SAS_" "0.109999999403954" 57
"NA21114" "1" 12345135.9 14444408.1 "NA21114" "SAS_" "0.109999999403954" 58
"NA21113" "1" 12345135.9 14444408.1 "NA21113" "SAS_" "0.109999999403954" 59
"NA21112" "1" 12345135.9 14444408.1 "NA21112" "SAS_" "0.109999999403954" 60
"NA21111" "1" 12345135.9 14444408.1 "NA21111" "SAS_" "0.109999999403954" 61
"NA21110" "1" 12345135.9 14444408.1 "NA21110" "SAS_" "0.109999999403954" 62
"NA21109" "1" 12345135.9 14444408.1 "NA21109" "SAS_" "0.109999999403954" 63
"NA21108" "1" 12345135.9 14444408.1 "NA21108" "SAS_" "0.109999999403954" 64
"NA21107" "1" 12345135.9 14444408.1 "NA21107" "SAS_" "0.109999999403954" 65
"NA21106" "1" 12345135.9 14444408.1 "NA21106" "SAS_" "0.109999999403954" 66
"NA21105" "1" 12345135.9 14444408.1 "NA21105" "SAS_" "0.109999999403954" 67
"NA21104" "1" 12345135.9 14444408.1 "NA21104" "SAS_" "0.109999999403954" 68
"NA21103" "1" 12345135.9 14444408.1 "NA21103" "SAS_" "0.109999999403954" 69
